# EXP-2: Multi-Tenant Isolation Test
TENANT_ID: 7
QUOTA: 50
ATTEMPTS: 60
CREATED: 50
DENIED: 10
QUOTA_COMPLIANCE: 100.0%
FIRST_DENIAL_MS: 20.24
TOTAL_TIME_MS: 20.27
AVG_LATENCY_US: 404.63

# Raw latency data (first 50)
# QP_ID,LATENCY_US,SUCCESS
0,547.06,1
1,314.47,1
2,458.62,1
3,302.13,1
4,455.41,1
5,456.63,1
6,474.81,1
7,454.11,1
8,765.41,1
9,643.94,1
10,268.31,1
11,344.44,1
12,262.98,1
13,1252.92,1
14,266.77,1
15,408.40,1
16,344.17,1
17,328.94,1
18,951.89,1
19,335.94,1
20,259.57,1
21,1379.52,1
22,325.01,1
23,384.39,1
24,337.81,1
25,399.46,1
26,305.24,1
27,321.38,1
28,252.52,1
29,455.11,1
30,266.94,1
31,325.81,1
32,262.36,1
33,323.85,1
34,320.85,1
35,420.32,1
36,396.52,1
37,311.84,1
38,278.80,1
39,301.95,1
40,273.51,1
41,311.11,1
42,251.97,1
43,297.18,1
44,251.07,1
45,353.43,1
46,276.99,1
47,362.16,1
48,274.45,1
49,313.00,1
