# EXP-2: Multi-Tenant Isolation Test
TENANT_ID: 13
QUOTA: 20
ATTEMPTS: 30
CREATED: 20
DENIED: 10
QUOTA_COMPLIANCE: 100.0%
FIRST_DENIAL_MS: 7.68
TOTAL_TIME_MS: 7.71
AVG_LATENCY_US: 384.03

# Raw latency data (first 50)
# QP_ID,LATENCY_US,SUCCESS
0,542.02,1
1,420.88,1
2,461.03,1
3,289.96,1
4,411.44,1
5,465.45,1
6,446.87,1
7,478.94,1
8,530.64,1
9,460.75,1
10,290.03,1
11,301.52,1
12,303.07,1
13,303.67,1
14,302.68,1
15,309.00,1
16,364.69,1
17,305.51,1
18,291.73,1
19,400.65,1
20,2.07,0
21,1.49,0
22,1.18,0
23,1.17,0
24,1.16,0
25,1.17,0
26,1.17,0
27,1.17,0
28,1.16,0
29,1.17,0
