# EXP-2: Multi-Tenant Isolation Test
TENANT_ID: 14
QUOTA: 20
ATTEMPTS: 30
CREATED: 20
DENIED: 10
QUOTA_COMPLIANCE: 100.0%
FIRST_DENIAL_MS: 8.64
TOTAL_TIME_MS: 8.68
AVG_LATENCY_US: 431.57

# Raw latency data (first 50)
# QP_ID,LATENCY_US,SUCCESS
0,557.91,1
1,323.96,1
2,478.64,1
3,304.19,1
4,459.93,1
5,467.23,1
6,462.66,1
7,477.76,1
8,559.36,1
9,678.05,1
10,408.72,1
11,412.70,1
12,423.33,1
13,423.83,1
14,357.33,1
15,332.13,1
16,358.51,1
17,332.54,1
18,417.29,1
19,395.37,1
20,2.70,0
21,1.55,0
22,1.17,0
23,1.16,0
24,1.16,0
25,1.16,0
26,1.16,0
27,1.16,0
28,1.15,0
29,1.16,0
