# EXP-2: Multi-Tenant Isolation Test
TENANT_ID: 33
QUOTA: 50
ATTEMPTS: 70
CREATED: 50
DENIED: 20
QUOTA_COMPLIANCE: 100.0%
FIRST_DENIAL_MS: 16.97
TOTAL_TIME_MS: 17.03
AVG_LATENCY_US: 339.33

# Raw latency data (first 50)
# QP_ID,LATENCY_US,SUCCESS
0,557.11,1
1,331.03,1
2,429.97,1
3,324.13,1
4,422.52,1
5,468.77,1
6,423.39,1
7,465.78,1
8,464.91,1
9,635.56,1
10,273.91,1
11,411.36,1
12,275.45,1
13,360.03,1
14,273.74,1
15,341.95,1
16,275.31,1
17,350.16,1
18,296.83,1
19,337.24,1
20,247.43,1
21,312.19,1
22,286.81,1
23,338.92,1
24,271.58,1
25,318.68,1
26,287.93,1
27,351.46,1
28,272.08,1
29,360.43,1
30,264.46,1
31,353.02,1
32,293.90,1
33,343.79,1
34,283.71,1
35,346.15,1
36,281.23,1
37,325.26,1
38,291.93,1
39,346.41,1
40,270.79,1
41,381.69,1
42,311.96,1
43,352.40,1
44,273.47,1
45,317.64,1
46,271.49,1
47,327.39,1
48,245.19,1
49,318.12,1
