tenant_id,num_qp,success,total_time_us,avg_latency_us,p50_latency_us,p99_latency_us
1,10,10,49442.0,4944.2,1620.0,2523.0
2,10,10,52076.0,5207.6,1680.0,2223.0
3,10,10,52235.0,5223.5,1818.0,2111.0
4,10,10,53538.0,5353.8,2013.0,2565.0
5,10,10,49248.0,4924.8,1395.0,2414.0
6,10,10,52222.0,5222.2,1634.0,2537.0
7,10,10,51484.0,5148.4,1596.0,2214.0
8,10,10,52674.0,5267.4,1891.0,2400.0
9,10,10,52616.0,5261.6,1638.0,2220.0
10,10,10,51861.0,5186.1,1655.0,3026.0
11,10,10,52150.0,5215.0,1753.0,2418.0
12,10,10,51561.0,5156.1,1370.0,2337.0
13,10,10,52245.0,5224.5,1797.0,2737.0
14,10,10,43989.0,4398.9,1402.0,2231.0
15,10,10,53638.0,5363.8,1872.0,2457.0
16,10,10,55055.0,5505.5,1896.0,2622.0
17,10,10,53774.0,5377.4,1513.0,2374.0
18,10,10,55169.0,5516.9,1885.0,2085.0
19,10,10,54019.0,5401.9,1902.0,2985.0
20,10,10,54070.0,5407.0,1873.0,2791.0
21,10,10,54508.0,5450.8,1960.0,2607.0
22,10,10,53829.0,5382.9,1877.0,2426.0
23,10,10,54371.0,5437.1,1838.0,2048.0
24,10,10,54944.0,5494.4,1665.0,2601.0
25,10,10,54449.0,5444.9,1802.0,2505.0
26,10,10,54715.0,5471.5,1813.0,2800.0
27,10,10,53772.0,5377.2,1643.0,2751.0
28,10,10,55329.0,5532.9,1521.0,2279.0
29,10,10,52634.0,5263.4,1756.0,2583.0
30,10,10,53290.0,5329.0,1593.0,2620.0
31,10,10,54868.0,5486.8,1526.0,2682.0
32,10,10,53816.0,5381.6,1696.0,2639.0
33,10,10,53818.0,5381.8,1682.0,2228.0
34,10,10,54295.0,5429.5,1757.0,2508.0
35,10,10,52774.0,5277.4,1819.0,2175.0
36,10,10,54133.0,5413.3,1795.0,2408.0
37,10,10,52560.0,5256.0,1627.0,2364.0
38,10,10,53461.0,5346.1,1976.0,2572.0
39,10,10,52034.0,5203.4,1597.0,2490.0
40,10,10,53583.0,5358.3,1753.0,2415.0
41,10,10,51906.0,5190.6,1904.0,2670.0
42,10,10,53861.0,5386.1,1714.0,2703.0
43,10,10,55401.0,5540.1,1738.0,2662.0
44,10,10,53749.0,5374.9,1893.0,2187.0
45,10,10,53515.0,5351.5,1600.0,2862.0
46,10,10,51445.0,5144.5,1621.0,2164.0
47,10,10,53045.0,5304.5,1701.0,2672.0
48,10,10,52945.0,5294.5,1623.0,2616.0
49,10,10,50888.0,5088.8,1701.0,2784.0
50,10,10,53112.0,5311.2,1857.0,2192.0
