tenant_id,num_qp,success,total_time_us,avg_latency_us,p50_latency_us,p99_latency_us
1,10,10,45332.0,4533.2,1565.0,2715.0
2,10,10,50241.0,5024.1,1575.0,2313.0
3,10,10,51744.0,5174.4,1493.0,2808.0
4,10,10,48941.0,4894.1,1462.0,2234.0
5,10,10,47278.0,4727.8,1605.0,2595.0
6,10,10,51385.0,5138.5,1533.0,2710.0
7,10,10,47934.0,4793.4,1539.0,2430.0
8,10,10,51362.0,5136.2,1500.0,2943.0
9,10,10,51333.0,5133.3,1831.0,2719.0
10,10,10,52142.0,5214.2,1786.0,2382.0
11,10,10,52658.0,5265.8,1619.0,2546.0
12,10,10,54317.0,5431.7,1746.0,3030.0
13,10,10,52642.0,5264.2,1814.0,2179.0
14,10,10,51329.0,5132.9,1964.0,2377.0
15,10,10,52587.0,5258.7,1864.0,2595.0
16,10,10,51455.0,5145.5,1614.0,2901.0
17,10,10,54074.0,5407.4,1797.0,2506.0
18,10,10,54262.0,5426.2,1876.0,2675.0
19,10,10,53082.0,5308.2,1484.0,2332.0
20,10,10,53840.0,5384.0,1788.0,2730.0
21,10,10,52489.0,5248.9,1612.0,2149.0
22,10,10,53892.0,5389.2,1718.0,2292.0
23,10,10,53521.0,5352.1,1532.0,2361.0
24,10,10,53759.0,5375.9,1486.0,2795.0
25,10,10,54227.0,5422.7,1461.0,2846.0
26,10,10,53666.0,5366.6,1707.0,2564.0
27,10,10,53150.0,5315.0,1561.0,2704.0
28,10,10,51337.0,5133.7,1582.0,2601.0
29,10,10,50451.0,5045.1,1527.0,2731.0
30,10,10,51930.0,5193.0,1368.0,2449.0
31,10,10,50988.0,5098.8,1670.0,2109.0
32,10,10,51579.0,5157.9,1544.0,2861.0
33,10,10,49774.0,4977.4,1713.0,2556.0
34,10,10,52765.0,5276.5,1656.0,2735.0
35,10,10,52766.0,5276.6,1446.0,3047.0
36,10,10,52325.0,5232.5,1585.0,2952.0
37,10,10,52581.0,5258.1,1540.0,3008.0
38,10,10,52909.0,5290.9,1514.0,2985.0
39,10,10,52865.0,5286.5,1804.0,2567.0
40,10,10,51872.0,5187.2,1496.0,2333.0
41,10,10,49512.0,4951.2,1953.0,2396.0
42,10,10,52414.0,5241.4,1660.0,2457.0
43,10,10,50935.0,5093.5,1830.0,2364.0
44,10,10,51146.0,5114.6,1590.0,2645.0
45,10,10,49628.0,4962.8,1750.0,2601.0
46,10,10,50667.0,5066.7,1593.0,2585.0
47,10,10,52058.0,5205.8,1577.0,2222.0
48,10,10,52878.0,5287.8,1667.0,2213.0
49,10,10,50751.0,5075.1,1311.0,2463.0
50,10,10,51583.0,5158.3,1616.0,2428.0
