# EXP-8: QP Resource Isolation Test Results
# Tenant ID: 10
# Requested QPs: 50
# Successful: 50
# Failed: 0
# Success Rate: 100.0%
#
# Latency Statistics (successful creations only):
#   Average: 355.76 us
#   Min: 280.70 us
#   Max: 1223.97 us
#
# Per-QP Details:
# QP_ID,SUCCESS,LATENCY_US,ERROR_CODE
0,1,563.39,0
1,1,302.24,0
2,1,416.69,0
3,1,289.23,0
4,1,457.34,0
5,1,473.91,0
6,1,448.35,0
7,1,466.07,0
8,1,828.02,0
9,1,459.26,0
10,1,330.94,0
11,1,304.06,0
12,1,296.96,0
13,1,299.59,0
14,1,1223.97,0
15,1,285.81,0
16,1,302.69,0
17,1,283.24,0
18,1,332.58,0
19,1,282.58,0
20,1,340.52,0
21,1,326.99,0
22,1,282.74,0
23,1,328.73,0
24,1,288.20,0
25,1,297.43,0
26,1,286.34,0
27,1,288.44,0
28,1,319.56,0
29,1,292.60,0
30,1,290.63,0
31,1,330.53,0
32,1,310.68,0
33,1,283.33,0
34,1,290.29,0
35,1,303.54,0
36,1,365.03,0
37,1,310.39,0
38,1,295.99,0
39,1,288.74,0
40,1,285.78,0
41,1,304.90,0
42,1,280.70,0
43,1,292.59,0
44,1,314.02,0
45,1,312.93,0
46,1,301.98,0
47,1,298.49,0
48,1,312.17,0
49,1,317.01,0
