# EXP-8: QP Resource Isolation Test Results
# Tenant ID: 10
# Requested QPs: 50
# Successful: 10
# Failed: 40
# Success Rate: 20.0%
#
# Latency Statistics (successful creations only):
#   Average: 524.90 us
#   Min: 332.00 us
#   Max: 667.96 us
#
# Per-QP Details:
# QP_ID,SUCCESS,LATENCY_US,ERROR_CODE
0,1,667.96,0
1,1,414.73,0
2,1,595.89,0
3,1,332.00,0
4,1,471.24,0
5,1,571.03,0
6,1,630.59,0
7,1,660.39,0
8,1,457.11,0
9,1,448.00,0
10,0,2.80,1
11,0,2.38,1
12,0,2.37,1
13,0,2.36,1
14,0,2.36,1
15,0,2.37,1
16,0,2.37,1
17,0,2.37,1
18,0,2.36,1
19,0,2.37,1
20,0,2.38,1
21,0,2.36,1
22,0,2.37,1
23,0,2.38,1
24,0,2.37,1
25,0,2.37,1
26,0,2.37,1
27,0,2.37,1
28,0,2.37,1
29,0,2.36,1
30,0,2.36,1
31,0,2.36,1
32,0,2.37,1
33,0,2.37,1
34,0,2.37,1
35,0,2.36,1
36,0,2.38,1
37,0,2.36,1
38,0,2.37,1
39,0,2.36,1
40,0,2.37,1
41,0,2.37,1
42,0,2.36,1
43,0,2.37,1
44,0,2.38,1
45,0,2.36,1
46,0,2.36,1
47,0,2.37,1
48,0,2.36,1
49,0,2.37,1
