# EXP-9: MR Resource Isolation Test Results
# Tenant ID: 10
# MR Size: 1048576 bytes
# Requested MRs: 50
# Successful: 50
# Failed: 0
# Success Rate: 100.0%
#
# Latency Statistics (successful registrations only):
#   Average: 505.41 us
#   Min: 396.28 us
#   Max: 871.65 us
#
# Per-MR Details:
# MR_ID,SUCCESS,LATENCY_US,ERROR_CODE
0,1,761.29,0
1,1,668.10,0
2,1,616.65,0
3,1,609.98,0
4,1,612.79,0
5,1,605.23,0
6,1,599.27,0
7,1,553.93,0
8,1,435.80,0
9,1,433.00,0
10,1,434.49,0
11,1,419.10,0
12,1,406.54,0
13,1,418.23,0
14,1,421.69,0
15,1,404.97,0
16,1,453.17,0
17,1,403.94,0
18,1,436.90,0
19,1,465.26,0
20,1,447.25,0
21,1,404.88,0
22,1,442.21,0
23,1,420.39,0
24,1,871.65,0
25,1,698.53,0
26,1,700.05,0
27,1,692.33,0
28,1,693.86,0
29,1,691.56,0
30,1,732.45,0
31,1,697.83,0
32,1,728.22,0
33,1,445.76,0
34,1,396.92,0
35,1,398.12,0
36,1,398.15,0
37,1,397.15,0
38,1,431.71,0
39,1,398.82,0
40,1,399.69,0
41,1,399.94,0
42,1,398.41,0
43,1,396.28,0
44,1,397.98,0
45,1,398.78,0
46,1,400.53,0
47,1,398.49,0
48,1,432.56,0
49,1,399.70,0
