# EXP-9: MR Resource Isolation Test Results
# Tenant ID: 10
# MR Size: 1048576 bytes
# Requested MRs: 50
# Successful: 50
# Failed: 0
# Success Rate: 100.0%
#
# Latency Statistics (successful registrations only):
#   Average: 513.49 us
#   Min: 386.54 us
#   Max: 904.73 us
#
# Per-MR Details:
# MR_ID,SUCCESS,LATENCY_US,ERROR_CODE
0,1,780.15,0
1,1,784.92,0
2,1,859.15,0
3,1,797.15,0
4,1,904.73,0
5,1,464.81,0
6,1,440.52,0
7,1,581.91,0
8,1,464.15,0
9,1,433.11,0
10,1,411.70,0
11,1,415.26,0
12,1,470.69,0
13,1,428.85,0
14,1,414.36,0
15,1,413.60,0
16,1,412.48,0
17,1,407.90,0
18,1,409.52,0
19,1,407.11,0
20,1,417.17,0
21,1,401.47,0
22,1,468.08,0
23,1,396.60,0
24,1,416.51,0
25,1,393.50,0
26,1,392.70,0
27,1,416.45,0
28,1,407.90,0
29,1,393.18,0
30,1,393.62,0
31,1,393.20,0
32,1,768.07,0
33,1,716.94,0
34,1,734.22,0
35,1,694.00,0
36,1,692.52,0
37,1,713.06,0
38,1,671.96,0
39,1,700.47,0
40,1,770.44,0
41,1,411.83,0
42,1,421.25,0
43,1,389.72,0
44,1,412.53,0
45,1,432.51,0
46,1,389.76,0
47,1,389.25,0
48,1,386.54,0
49,1,386.92,0
