# EXP-9: MR Resource Isolation Test Results
# Tenant ID: 10
# MR Size: 1048576 bytes
# Requested MRs: 50
# Successful: 10
# Failed: 40
# Success Rate: 20.0%
#
# Latency Statistics (successful registrations only):
#   Average: 647.48 us
#   Min: 503.60 us
#   Max: 856.61 us
#
# Per-MR Details:
# MR_ID,SUCCESS,LATENCY_US,ERROR_CODE
0,1,824.54,0
1,1,776.88,0
2,1,529.97,0
3,1,503.60,0
4,1,503.73,0
5,1,518.61,0
6,1,856.61,0
7,1,701.21,0
8,1,639.78,0
9,1,619.89,0
10,0,2.71,1
11,0,1.49,1
12,0,1.53,1
13,0,1.50,1
14,0,1.51,1
15,0,1.46,1
16,0,1.45,1
17,0,1.46,1
18,0,1.49,1
19,0,1.47,1
20,0,1.50,1
21,0,1.46,1
22,0,1.52,1
23,0,1.46,1
24,0,1.45,1
25,0,1.51,1
26,0,1.49,1
27,0,1.47,1
28,0,1.51,1
29,0,1.46,1
30,0,1.53,1
31,0,1.47,1
32,0,1.46,1
33,0,1.53,1
34,0,1.46,1
35,0,1.46,1
36,0,1.45,1
37,0,1.45,1
38,0,1.46,1
39,0,1.46,1
40,0,1.46,1
41,0,1.46,1
42,0,1.46,1
43,0,1.49,1
44,0,1.52,1
45,0,1.46,1
46,0,1.46,1
47,0,1.47,1
48,0,1.47,1
49,0,1.47,1
