TimeSec,BandwidthMbps
0.0,14599
0.5,12520
1.0,12500
1.5,23739
2.0,23669
2.5,21563
3.0,24390
3.5,27972
4.0,27211
4.5,24691
5.0,26490
5.5,26490
6.0,26667
6.5,25237
7.0,24768
7.5,15355
8.0,18561
8.5,11765
9.0,15296
9.5,13769
10.0,16701
10.5,16032
11.0,15123
11.5,13865
12.0,24024
12.6,14035
13.1,13423
13.6,21220
14.1,15238
14.6,13491
15.1,14493
15.6,16842
16.1,14842
16.6,24768
17.1,21108
17.6,13245
18.1,15267
18.6,20779
19.1,14235
19.6,14760
20.1,13722
20.6,12579
21.1,16227
21.6,15296
22.1,13445
22.6,16529
23.1,18018
23.6,14925
24.1,25806
24.6,25078
25.1,15414
25.6,14159
26.1,14210
