TimeSec,BandwidthMbps
1.0,59828.90
1.0,59368.88
1.0,59451.06
1.0,60006.53
1.0,59533.46
1.0,59538.62
1.0,60027.50
1.0,59138.96
1.0,59471.64
1.0,59834.11
1.0,59813.28
1.0,58991.74
1.0,58784.84
1.0,59834.11
1.0,59724.91
1.0,59425.35
1.0,59471.64
1.0,59834.11
1.1,59179.71
1.1,59348.37
1.1,59896.69
1.1,59389.40
1.1,59327.87
1.1,59154.24
1.1,56373.65
1.1,57952.00
1.1,57771.73
1.1,57275.78
1.1,57476.98
1.1,57166.19
1.1,57893.41
1.1,57810.61
1.1,57834.94
1.1,57732.90
1.1,57732.90
2.0,131570.89
2.0,135061.86
2.0,136727.97
2.0,130869.31
2.0,137741.99
2.0,135194.72
2.0,127778.87
2.0,135088.42
2.0,129953.62
2.0,129171.95
2.0,135301.19
2.0,134533.04
2.0,131798.00
2.0,135407.84
2.0,132739.96
2.0,137192.01
2.0,134217.73
2.0,135407.84
2.0,135514.65
2.0,133151.48
2.0,138547.33
2.0,135194.72
2.0,124379.14
2.0,132637.48
2.0,136755.18
2.0,118318.66
2.0,137411.47
2.0,136973.24
2.0,132945.40
2.0,133669.47
2.0,131899.19
2.0,128160.16
2.0,137493.95
2.0,134112.95
2.0,136619.24
2.0,130969.08
2.0,132509.60
2.0,127873.98
2.0,124559.50
2.1,114915.51
2.1,78545.52
2.1,58679.43
2.1,120602.80
2.1,120349.35
2.1,124266.68
2.1,129953.62
2.1,134638.47
2.1,122016.12
2.1,59724.91
2.1,80354.86
2.1,128471.63
2.1,129757.32
2.1,90005.86
2.1,138185.15
2.1,138407.81
2.1,134322.67
2.1,132714.32
2.1,134008.34
2.1,128857.07
2.1,132611.88
2.1,138212.95
2.1,129953.62
2.1,137521.47
2.1,138547.33
2.1,127873.98
2.1,135088.42
2.1,135061.86
2.1,136402.30
2.1,132509.60
2.1,136402.30
2.1,138324.23
2.1,131269.30
2.1,132714.32
2.1,135301.19
3.0,131269.30
3.0,137631.64
3.0,137852.51
3.0,132509.60
3.0,136510.68
3.0,134008.34
3.0,128953.79
3.0,138995.71
3.0,125469.19
3.0,128760.50
3.0,132611.88
3.0,135836.09
3.0,125583.84
3.0,137082.54
3.0,136078.17
3.0,135274.56
3.0,135088.42
3.0,134744.07
3.0,137384.00
3.0,135194.72
3.0,121134.28
3.0,127281.86
3.0,125767.71
3.0,129463.97
3.0,131369.67
3.0,128857.07
3.0,133461.79
3.0,131269.30
3.0,126438.78
3.0,138324.23
3.0,138212.95
3.0,129171.95
3.0,138212.95
3.0,137990.92
3.0,130570.92
3.0,136836.87
3.0,132945.40
3.0,132305.50
3.0,136945.95
3.1,134322.67
3.1,136727.97
3.1,128279.78
3.1,137990.92
3.1,138324.23
3.1,124649.88
3.1,138185.15
3.1,138547.33
3.1,130670.24
3.1,136619.24
3.1,136294.08
3.1,131169.07
3.1,136945.95
3.1,126044.53
3.1,132203.69
3.1,137082.54
3.1,136402.30
3.1,133254.75
3.1,135514.65
3.1,136755.18
3.1,138324.23
3.1,125975.21
3.1,137301.65
3.1,119929.28
3.1,129953.62
3.1,138324.23
3.1,137384.00
3.1,126625.16
3.1,136619.24
3.1,127778.87
3.1,132714.32
3.1,138185.15
3.1,135514.65
3.1,132203.69
3.1,136375.23
3.1,136945.95
3.1,130869.31
3.1,126812.10
3.1,137301.65
3.1,137963.21
4.0,59072.88
4.0,59471.64
4.0,59621.27
4.0,58991.74
4.0,56816.43
4.0,56466.29
4.0,57592.59
4.0,58010.70
4.0,57554.00
4.0,57161.43
4.0,58664.40
4.0,57674.76
4.0,57042.81
4.0,57554.00
4.0,58256.59
4.0,56299.75
4.0,57515.46
4.1,57655.40
4.1,58454.81
4.1,56774.19
4.1,56792.96
4.1,58355.53
4.1,58113.72
4.1,58454.81
4.1,58784.84
4.1,59307.39
4.1,57534.73
4.1,57438.55
4.1,58172.76
4.1,58459.78
4.1,57218.55
4.1,57380.99
4.1,58049.90
4.1,56891.69
5.0,133358.19
5.0,122647.65
5.0,115223.80
5.0,121219.75
5.0,122363.74
5.0,122823.01
5.0,124379.14
5.0,132842.60
5.0,132407.47
5.0,123087.01
5.0,130150.52
5.0,121476.89
5.0,128567.78
5.0,132945.40
5.0,131696.97
5.0,128279.78
5.0,132739.96
5.0,131696.97
5.0,122016.12
5.0,125583.84
5.0,132714.32
5.0,127281.86
5.0,131369.67
5.0,132407.47
5.0,124559.50
5.0,129953.62
5.0,129244.83
5.0,123818.88
5.0,133151.48
5.0,132739.96
5.0,131495.36
5.0,123908.18
5.0,119408.30
5.0,119824.72
5.0,119242.54
5.0,121305.34
5.0,119242.54
5.0,112305.08
5.1,121756.69
5.1,122102.84
5.1,80307.91
5.1,60503.15
5.1,57376.20
5.1,57694.13
5.1,122189.68
5.1,120286.15
5.1,123818.88
5.1,115767.31
5.1,122998.88
5.1,113267.64
5.1,117248.72
5.1,118237.23
5.1,115630.96
5.1,119056.61
5.1,115146.58
5.1,119325.36
5.1,121048.93
5.1,122102.84
5.1,120942.41
5.1,124176.86
5.1,124446.72
5.1,116592.26
5.1,118400.20
5.1,119077.24
5.1,120454.82
5.1,120180.97
5.1,120857.33
5.1,114838.70
5.1,117009.16
6.0,127589.08
6.0,131470.21
6.0,125492.11
6.0,130969.08
6.0,128351.66
6.0,135407.84
6.0,126905.77
6.0,135407.84
6.0,129050.66
6.0,122189.68
6.0,128760.50
6.0,123263.64
6.0,126905.77
6.0,132229.13
6.0,132432.99
6.0,125126.51
6.0,128471.63
6.0,128375.63
6.0,128857.07
6.0,126625.16
6.0,132509.60
6.0,127565.39
6.0,132407.47
6.0,128567.78
6.0,130273.89
6.0,129757.32
6.0,135514.65
6.0,125103.73
6.0,134322.67
6.0,135194.72
6.0,131470.21
6.0,124266.68
6.0,122016.12
6.0,129537.19
6.0,128160.16
6.0,126812.10
6.0,132000.53
6.0,127969.23
6.1,130052.00
6.1,131069.00
6.1,125952.12
6.1,132509.60
6.1,128064.62
6.1,128953.79
6.1,128543.73
6.1,122998.88
6.1,127683.90
6.1,129561.61
6.1,130446.99
6.1,125859.85
6.1,128857.07
6.1,129757.32
6.1,124740.38
6.1,125194.89
6.1,125377.63
6.1,123618.41
6.1,124831.02
6.1,125377.63
6.1,124649.88
6.1,125217.71
6.1,125400.50
6.1,119242.54
6.1,125194.89
6.1,129659.39
6.1,131269.30
6.1,123263.64
6.1,132305.50
6.1,128255.84
6.1,132637.48
6.1,130670.24
6.1,123729.70
6.1,129147.67
6.1,132203.69
6.1,128567.78
6.1,125492.11
6.1,131873.88
7.0,57592.59
7.0,57142.42
7.0,55463.66
7.0,56545.28
7.0,54016.25
7.0,76781.54
7.0,100101.20
7.0,99047.96
7.0,100232.61
7.0,99506.92
7.0,129342.14
7.0,128953.79
7.0,135407.84
7.0,119845.62
7.0,125652.73
7.0,131069.00
7.0,127683.90
7.0,131596.09
7.0,132535.15
7.0,128255.84
7.0,130076.62
7.0,131798.00
7.0,127281.86
7.0,127565.39
7.0,131798.00
7.0,122888.91
7.0,131899.19
7.0,129732.82
7.0,126905.77
7.1,124087.17
7.1,131169.07
7.1,129074.90
7.1,131495.36
7.1,131596.09
7.1,121907.89
7.1,131696.97
7.1,130769.70
7.1,123087.01
7.1,125652.73
7.1,131798.00
7.1,127399.85
7.1,132102.03
7.1,126345.79
