TimeSec,BandwidthMbps
1.0,135407.84
1.0,138435.69
1.0,131394.79
1.0,136945.95
1.0,135274.56
1.0,138771.16
1.0,131269.30
1.0,138659.15
1.0,132842.60
1.0,127470.74
1.0,134638.47
1.0,135407.84
1.0,130150.52
1.0,138883.34
1.0,137852.51
1.0,134322.67
1.0,133048.36
1.0,138435.69
1.0,130570.92
1.0,134744.07
1.0,134744.07
1.0,135836.09
1.0,131169.07
1.0,137741.99
1.0,135514.65
1.0,133048.36
1.0,135943.57
1.0,135514.65
1.0,130446.99
1.0,138547.33
1.0,136864.12
1.0,132535.15
1.0,132535.15
1.0,138407.81
1.0,134638.47
1.0,134638.47
1.0,135621.62
1.0,138883.34
1.0,131169.07
1.0,138324.23
1.1,133565.55
1.1,134322.67
1.1,133591.52
1.1,135301.19
1.1,130249.20
1.1,138185.15
1.1,134982.28
1.1,132637.48
1.1,139136.42
1.1,124921.79
1.1,121134.28
1.1,125583.84
1.1,126322.57
1.1,124446.72
1.1,131596.09
1.1,125583.84
1.1,117993.61
1.1,132203.69
1.1,128471.63
1.1,126999.59
1.1,131069.00
1.1,132203.69
1.1,128255.84
1.1,136186.04
1.1,129855.40
1.1,119491.35
1.1,131570.89
1.1,135514.65
1.1,138659.15
1.1,129366.48
1.1,136619.24
1.1,138547.33
1.1,131696.97
1.1,135514.65
1.1,135755.58
1.1,129244.83
1.1,138631.18
1.1,137963.21
1.1,132842.60
2.0,117168.76
2.0,122385.53
2.0,117068.96
2.0,102551.08
2.0,126345.79
2.0,123908.18
2.0,124087.17
2.0,129342.14
2.0,122363.74
2.0,126137.07
2.0,126812.10
2.0,121219.75
2.0,128567.78
2.0,125675.71
2.0,122560.15
2.0,137082.54
2.0,134559.38
2.0,131394.79
2.0,137880.17
2.0,137741.99
2.0,124266.68
2.0,136402.30
2.0,136186.04
2.0,133151.48
2.0,128664.06
2.0,134112.95
2.0,134982.28
2.0,128639.98
2.0,137852.51
2.0,137411.47
2.0,129953.62
2.0,137521.47
2.0,134112.95
2.0,126345.79
2.0,137963.21
2.0,134322.67
2.0,129439.59
2.0,137055.20
2.1,137192.01
2.1,128375.63
2.1,132945.40
2.1,133773.56
2.1,136619.24
2.1,132509.60
2.1,134112.95
2.1,134322.67
2.1,130372.75
2.1,137192.01
2.1,131975.18
2.1,125675.71
2.1,137963.21
2.1,132127.43
2.1,128375.63
2.1,137082.54
2.1,137769.60
2.1,121412.50
2.1,130670.24
2.1,134322.67
2.1,131294.38
2.1,135088.42
2.1,137741.99
2.1,129366.48
2.1,134770.50
2.1,134454.07
2.1,128375.63
2.1,115378.57
2.1,136510.68
2.1,135194.72
2.1,130969.08
2.1,133903.89
2.1,134849.84
2.1,131169.07
2.1,131470.21
2.1,133151.48
2.1,128447.62
2.1,137741.99
2.1,137164.62
2.1,128447.62
3.0,57237.61
3.0,57592.59
3.0,58094.07
3.0,57578.11
3.0,62763.24
3.0,96030.57
3.0,62740.32
3.0,76953.50
3.0,64205.81
3.0,66025.63
3.0,78259.28
3.0,81916.17
3.0,64181.82
3.0,58951.25
3.0,58355.53
3.0,57991.12
3.0,59579.92
3.0,57873.91
3.1,58113.72
3.1,59724.91
3.1,59113.53
3.1,58684.44
3.1,58054.81
3.1,59220.51
3.1,58479.68
3.1,59113.53
3.1,59512.84
3.1,58845.24
3.1,59281.81
3.1,58296.13
3.1,56074.64
3.1,58459.78
3.1,57991.12
3.1,133254.75
3.1,130249.20
3.1,131169.07
3.1,138659.15
3.1,135621.62
3.1,131470.21
4.0,126229.75
4.0,127778.87
4.0,136294.08
4.0,129757.32
4.0,137411.47
4.0,134744.07
4.0,110659.38
