# EXP-2: Multi-Tenant Isolation Test
TENANT_ID: 10
QUOTA: 50
ATTEMPTS: 60
CREATED: 50
DENIED: 10
QUOTA_COMPLIANCE: 100.0%
FIRST_DENIAL_MS: 49.49
TOTAL_TIME_MS: 49.51
AVG_LATENCY_US: 989.69

# Raw latency data (first 50)
# QP_ID,LATENCY_US,SUCCESS
0,26115.48,1
1,525.12,1
2,583.76,1
3,500.26,1
4,596.05,1
5,672.93,1
6,615.50,1
7,639.79,1
8,623.92,1
9,665.81,1
10,493.01,1
11,479.00,1
12,449.85,1
13,482.09,1
14,499.95,1
15,527.28,1
16,405.56,1
17,505.91,1
18,407.90,1
19,472.34,1
20,385.58,1
21,487.92,1
22,399.45,1
23,465.79,1
24,385.85,1
25,726.54,1
26,401.96,1
27,474.87,1
28,392.25,1
29,475.38,1
30,383.96,1
31,468.80,1
32,391.49,1
33,479.67,1
34,382.78,1
35,458.09,1
36,394.52,1
37,491.23,1
38,388.08,1
39,456.51,1
40,384.93,1
41,475.42,1
42,383.17,1
43,456.90,1
44,394.33,1
45,491.08,1
46,388.57,1
47,467.03,1
48,396.17,1
49,494.81,1
