# EXP-2: Multi-Tenant Isolation Test
TENANT_ID: 11
QUOTA: 20
ATTEMPTS: 30
CREATED: 20
DENIED: 10
QUOTA_COMPLIANCE: 100.0%
FIRST_DENIAL_MS: 20.78
TOTAL_TIME_MS: 20.80
AVG_LATENCY_US: 1038.89

# Raw latency data (first 50)
# QP_ID,LATENCY_US,SUCCESS
0,10103.05,1
1,538.96,1
2,590.72,1
3,528.69,1
4,1004.64,1
5,605.35,1
6,580.48,1
7,597.00,1
8,583.24,1
9,585.95,1
10,490.77,1
11,480.75,1
12,464.09,1
13,483.91,1
14,464.95,1
15,492.69,1
16,467.11,1
17,484.98,1
18,476.54,1
19,753.90,1
20,1.41,0
21,1.25,0
22,1.06,0
23,1.05,0
24,0.86,0
25,0.91,0
26,1.13,0
27,0.81,0
28,0.80,0
29,0.90,0
