tenant_id,num_qp,success,total_time_us,avg_latency_us,p50_latency_us,p99_latency_us
1,10,10,56234.0,5623.4,2413.0,3980.0
2,10,10,58374.0,5837.4,2653.0,3830.0
3,10,10,58588.0,5858.8,2518.0,4001.0
4,10,10,59803.0,5980.3,2374.0,4711.0
5,10,10,63306.0,6330.6,2405.0,5174.0
6,10,10,66391.0,6639.1,2728.0,4879.0
7,10,10,63671.0,6367.1,2765.0,5543.0
8,10,10,63855.0,6385.5,2694.0,4844.0
9,10,10,91932.0,9193.2,4156.0,5963.0
10,10,10,71809.0,7180.9,2801.0,5084.0
11,10,10,72611.0,7261.1,3065.0,5787.0
12,10,10,70728.0,7072.8,2797.0,5396.0
13,10,10,84116.0,8411.6,3765.0,6472.0
14,10,10,88546.0,8854.6,3893.0,5257.0
15,10,10,91381.0,9138.1,3871.0,5788.0
16,10,10,93811.0,9381.1,4107.0,5526.0
17,10,10,84243.0,8424.3,3818.0,5368.0
18,10,10,86597.0,8659.7,3813.0,5289.0
19,10,10,89161.0,8916.1,3887.0,5599.0
20,10,10,92544.0,9254.4,4071.0,5773.0
21,10,10,87887.0,8788.7,3622.0,5960.0
22,10,10,88175.0,8817.5,3734.0,5659.0
23,10,10,93747.0,9374.7,4600.0,5517.0
24,10,10,95525.0,9552.5,4354.0,5831.0
25,10,10,96670.0,9667.0,4693.0,5393.0
26,10,10,100756.0,10075.6,4553.0,5684.0
27,10,10,105919.0,10591.9,4802.0,5508.0
28,10,10,99144.0,9914.4,4620.0,5892.0
29,10,10,94857.0,9485.7,4655.0,5919.0
30,10,10,100035.0,10003.5,4817.0,6201.0
31,10,10,97947.0,9794.7,4575.0,7075.0
32,10,10,106142.0,10614.2,4768.0,5681.0
33,10,10,106527.0,10652.7,4536.0,5512.0
34,10,10,106178.0,10617.8,4808.0,5621.0
35,10,10,108993.0,10899.3,5016.0,6052.0
36,10,10,107155.0,10715.5,4831.0,5776.0
37,10,10,106624.0,10662.4,4733.0,5996.0
38,10,10,105419.0,10541.9,4936.0,5376.0
39,10,10,106493.0,10649.3,4845.0,5971.0
40,10,10,106296.0,10629.6,4560.0,6044.0
41,10,10,109669.0,10966.9,4671.0,5625.0
42,10,10,108333.0,10833.3,4532.0,6353.0
43,10,10,108447.0,10844.7,4697.0,6004.0
44,10,10,109034.0,10903.4,5109.0,6161.0
45,10,10,107975.0,10797.5,4322.0,5481.0
46,10,10,107388.0,10738.8,5027.0,5446.0
47,10,10,108301.0,10830.1,4104.0,5970.0
48,10,10,109352.0,10935.2,5011.0,5822.0
49,10,10,108866.0,10886.6,4654.0,6088.0
50,10,10,106329.0,10632.9,4716.0,6357.0
51,10,10,107473.0,10747.3,4838.0,5921.0
52,10,10,106934.0,10693.4,4629.0,6157.0
53,10,10,108191.0,10819.1,5063.0,6481.0
54,10,10,107726.0,10772.6,4457.0,6190.0
55,10,10,105510.0,10551.0,4539.0,5647.0
56,10,10,107443.0,10744.3,5105.0,6236.0
57,10,10,106867.0,10686.7,4697.0,6096.0
58,10,10,106180.0,10618.0,5011.0,5322.0
59,10,10,106327.0,10632.7,4691.0,5393.0
60,10,10,105296.0,10529.6,4726.0,5509.0
61,10,10,105992.0,10599.2,4496.0,5505.0
62,10,10,103285.0,10328.5,4747.0,6152.0
63,10,10,104912.0,10491.2,4731.0,6234.0
64,10,10,103811.0,10381.1,4869.0,6176.0
65,10,10,104901.0,10490.1,4615.0,5696.0
66,10,10,100383.0,10038.3,4888.0,5350.0
67,10,10,103699.0,10369.9,4795.0,5881.0
68,10,10,104233.0,10423.3,5365.0,6085.0
69,10,10,105976.0,10597.6,5258.0,7032.0
70,10,10,101340.0,10134.0,4952.0,5666.0
71,10,10,103386.0,10338.6,4709.0,5760.0
72,10,10,100832.0,10083.2,4579.0,5693.0
73,10,10,99210.0,9921.0,4578.0,5907.0
74,10,10,95359.0,9535.9,4569.0,6113.0
75,10,10,97710.0,9771.0,4487.0,5468.0
76,10,10,98991.0,9899.1,4551.0,5922.0
77,10,10,97492.0,9749.2,4042.0,5669.0
78,10,10,98111.0,9811.1,4960.0,5402.0
79,10,10,97708.0,9770.8,5083.0,6023.0
80,10,10,96727.0,9672.7,4540.0,5585.0
81,10,10,96978.0,9697.8,4538.0,6197.0
82,10,10,93949.0,9394.9,4508.0,5662.0
83,10,10,96922.0,9692.2,4485.0,6089.0
84,10,10,93032.0,9303.2,4492.0,5832.0
85,10,10,92639.0,9263.9,4478.0,5613.0
86,10,10,92864.0,9286.4,3992.0,5891.0
87,10,10,92576.0,9257.6,4926.0,6162.0
88,10,10,92225.0,9222.5,4656.0,5572.0
89,10,10,91346.0,9134.6,4722.0,5497.0
90,10,10,92443.0,9244.3,4440.0,5910.0
91,10,10,89438.0,8943.8,4191.0,5468.0
92,10,10,91543.0,9154.3,3928.0,6081.0
93,10,10,90465.0,9046.5,4118.0,6018.0
94,10,10,86792.0,8679.2,4191.0,6541.0
95,10,10,86612.0,8661.2,4195.0,5547.0
96,10,10,89560.0,8956.0,4417.0,5749.0
97,10,10,86068.0,8606.8,4199.0,5920.0
98,10,10,86101.0,8610.1,4249.0,6633.0
99,10,10,86612.0,8661.2,4329.0,5567.0
100,10,10,84041.0,8404.1,4593.0,5566.0
