tenant_id,num_qp,success,total_time_us,avg_latency_us,p50_latency_us,p99_latency_us
1,10,10,10392.0,1039.2,522.0,807.0
2,10,10,16860.0,1686.0,873.0,1004.0
3,10,10,18441.0,1844.1,934.0,1146.0
4,10,10,19192.0,1919.2,1052.0,1665.0
5,10,10,9362.0,936.2,556.0,707.0
6,10,10,9168.0,916.8,522.0,857.0
7,10,10,18603.0,1860.3,961.0,1289.0
8,10,10,19300.0,1930.0,899.0,1351.0
9,10,10,18063.0,1806.3,923.0,1456.0
10,10,10,9724.0,972.4,458.0,544.0
11,10,10,9422.0,942.2,513.0,1151.0
12,10,10,18861.0,1886.1,925.0,1075.0
13,10,10,19499.0,1949.9,842.0,1211.0
14,10,10,18711.0,1871.1,910.0,1062.0
15,10,10,18690.0,1869.0,906.0,1197.0
16,10,10,19369.0,1936.9,950.0,1276.0
17,10,10,18639.0,1863.9,863.0,1127.0
18,10,10,18467.0,1846.7,809.0,1217.0
19,10,10,18572.0,1857.2,881.0,1285.0
20,10,10,9252.0,925.2,472.0,852.0
