timestamp,bandwidth_gbps,phase
0.0,84.11,0
0.1,84.66,0
0.2,87.17,0
0.3,82.75,0
0.4,84.52,0
0.5,83.09,0
0.6,82.34,0
0.7,87.04,0
0.8,83.47,0
0.9,85.02,0
1.0,82.12,0
1.1,82.52,0
1.2,86.67,0
1.3,84.89,0
1.4,86.47,0
1.5,86.8,0
1.6,87.64,0
1.7,87.63,0
1.8,83.6,0
1.9,87.77,0
2.0,87.19,0
2.1,82.73,0
2.2,84.7,0
2.3,82.56,0
2.4,85.79,0
2.5,85.37,0
2.6,83.08,0
2.7,84.64,0
2.8,87.86,0
2.9,87.48,0
3.0,83.08,0
3.1,82.88,0
3.2,86.38,0
3.3,85.36,0
3.4,82.03,0
3.5,85.56,0
3.6,83.97,0
3.7,83.49,0
3.8,82.09,0
3.9,84.7,0
4.0,85.33,0
4.1,84.18,0
4.2,85.83,0
4.3,87.67,0
4.4,85.84,0
4.5,86.07,0
4.6,82.64,0
4.7,86.27,0
4.8,85.95,0
4.9,83.33,0
5.0,19.81,1
5.1,16.06,1
5.2,19.77,1
5.3,17.28,1
5.4,17.52,1
5.5,17.55,1
5.6,16.21,1
5.7,19.44,1
5.8,17.45,1
5.9,19.42,1
6.0,19.45,1
6.1,19.17,1
6.2,16.56,1
6.3,17.43,1
6.4,17.38,1
6.5,19.49,1
6.6,16.85,1
6.7,17.02,1
6.8,16.61,1
6.9,16.38,1
7.0,18.52,1
7.1,18.74,1
7.2,19.59,1
7.3,19.41,1
7.4,17.55,1
7.5,19.15,1
7.6,16.62,1
7.7,16.22,1
7.8,18.39,1
7.9,18.07,1
8.0,18.35,1
8.1,18.89,1
8.2,18.91,1
8.3,18.08,1
8.4,16.77,1
8.5,19.86,1
8.6,16.67,1
8.7,16.9,1
8.8,17.43,1
8.9,17.24,1
9.0,17.81,1
9.1,16.94,1
9.2,17.56,1
9.3,18.29,1
9.4,16.69,1
9.5,18.89,1
9.6,18.98,1
9.7,19.41,1
9.8,18.79,1
9.9,16.31,1
10.0,17.68,1
10.1,18.94,1
10.2,17.2,1
10.3,19.01,1
10.4,19.94,1
10.5,18.25,1
10.6,18.26,1
10.7,18.1,1
10.8,18.88,1
10.9,17.56,1
11.0,16.16,1
11.1,19.52,1
11.2,19.09,1
11.3,16.14,1
11.4,18.21,1
11.5,18.81,1
11.6,18.96,1
11.7,19.45,1
11.8,17.16,1
11.9,19.72,1
12.0,18.91,1
12.1,19.01,1
12.2,18.28,1
12.3,19.86,1
12.4,16.51,1
12.5,17.43,1
12.6,18.72,1
12.7,19.74,1
12.8,18.19,1
12.9,17.74,1
13.0,16.71,1
13.1,16.23,1
13.2,17.24,1
13.3,16.78,1
13.4,18.97,1
13.5,19.66,1
13.6,16.38,1
13.7,19.41,1
13.8,17.81,1
13.9,19.96,1
14.0,16.38,1
14.1,19.85,1
14.2,19.24,1
14.3,19.89,1
14.4,17.86,1
14.5,17.12,1
14.6,18.29,1
14.7,19.03,1
14.8,18.71,1
14.9,17.12,1
15.0,16.82,1
15.1,17.03,1
15.2,16.53,1
15.3,16.76,1
15.4,17.01,1
15.5,18.03,1
15.6,18.89,1
15.7,17.66,1
15.8,17.53,1
15.9,16.55,1
16.0,16.62,1
16.1,18.99,1
16.2,18.81,1
16.3,16.63,1
16.4,19.0,1
16.5,17.57,1
16.6,16.16,1
16.7,17.75,1
16.8,18.6,1
16.9,17.81,1
17.0,18.63,1
17.1,19.13,1
17.2,17.87,1
17.3,17.34,1
17.4,16.2,1
17.5,19.58,1
17.6,19.08,1
17.7,18.62,1
17.8,16.15,1
17.9,17.42,1
18.0,16.34,1
18.1,17.29,1
18.2,18.79,1
18.3,17.29,1
18.4,18.07,1
18.5,16.21,1
18.6,16.97,1
18.7,17.25,1
18.8,17.24,1
18.9,18.92,1
19.0,19.55,1
19.1,19.6,1
19.2,19.95,1
19.3,19.59,1
19.4,17.21,1
19.5,19.36,1
19.6,18.79,1
19.7,17.63,1
19.8,18.02,1
19.9,16.74,1
20.0,18.07,1
20.1,16.81,1
20.2,16.26,1
20.3,18.14,1
20.4,18.32,1
20.5,16.88,1
20.6,17.33,1
20.7,19.91,1
20.8,16.21,1
20.9,16.25,1
21.0,17.84,1
21.1,19.13,1
21.2,17.52,1
21.3,17.92,1
21.4,16.56,1
21.5,19.31,1
21.6,18.24,1
21.7,19.01,1
21.8,19.32,1
21.9,17.75,1
22.0,19.09,1
22.1,16.33,1
22.2,19.59,1
22.3,17.4,1
22.4,17.97,1
22.5,16.17,1
22.6,17.1,1
22.7,17.15,1
22.8,18.86,1
22.9,19.5,1
23.0,16.82,1
23.1,16.97,1
23.2,17.48,1
23.3,17.13,1
23.4,16.94,1
23.5,17.94,1
23.6,16.2,1
23.7,17.23,1
23.8,18.23,1
23.9,18.31,1
24.0,18.13,1
24.1,17.88,1
24.2,18.9,1
24.3,16.22,1
24.4,17.03,1
24.5,16.9,1
24.6,19.76,1
24.7,17.76,1
24.8,17.58,1
24.9,16.27,1
25.0,18.22,1
25.1,19.51,1
25.2,17.18,1
25.3,18.57,1
25.4,19.01,1
25.5,19.8,1
25.6,16.02,1
25.7,17.32,1
25.8,16.44,1
25.9,18.46,1
26.0,18.27,1
26.1,18.17,1
26.2,16.93,1
26.3,18.08,1
26.4,16.82,1
26.5,16.98,1
26.6,19.12,1
26.7,17.61,1
26.8,18.93,1
26.9,17.95,1
27.0,19.95,1
27.1,18.74,1
27.2,16.18,1
27.3,19.38,1
27.4,17.13,1
27.5,19.3,1
27.6,18.08,1
27.7,17.35,1
27.8,17.19,1
27.9,19.46,1
28.0,19.93,1
28.1,18.2,1
28.2,16.25,1
28.3,16.47,1
28.4,18.44,1
28.5,17.07,1
28.6,17.88,1
28.7,16.09,1
28.8,16.99,1
