# EXP-2: Multi-Tenant Isolation Test
TENANT_ID: 12
QUOTA: 20
ATTEMPTS: 30
CREATED: 20
DENIED: 10
QUOTA_COMPLIANCE: 100.0%
FIRST_DENIAL_MS: 36.19
TOTAL_TIME_MS: 36.21
AVG_LATENCY_US: 1809.37

# Raw latency data (first 50)
# QP_ID,LATENCY_US,SUCCESS
0,26171.67,1
1,468.50,1
2,573.93,1
3,465.04,1
4,1053.76,1
5,558.84,1
6,559.01,1
7,554.52,1
8,569.89,1
9,555.56,1
10,449.19,1
11,444.25,1
12,443.44,1
13,449.97,1
14,474.73,1
15,474.49,1
16,498.49,1
17,460.44,1
18,475.83,1
19,485.94,1
20,1.48,0
21,0.91,0
22,0.99,0
23,0.92,0
24,1.00,0
25,0.90,0
26,0.88,0
27,0.79,0
28,0.79,0
29,0.80,0
