# EXP-2: Multi-Tenant Isolation Test
TENANT_ID: 14
QUOTA: 100
ATTEMPTS: 120
CREATED: 100
DENIED: 20
QUOTA_COMPLIANCE: 100.0%
FIRST_DENIAL_MS: 73.16
TOTAL_TIME_MS: 73.19
AVG_LATENCY_US: 731.45

# Raw latency data (first 50)
# QP_ID,LATENCY_US,SUCCESS
0,26072.87,1
1,522.11,1
2,580.69,1
3,475.35,1
4,565.83,1
5,589.69,1
6,547.85,1
7,576.16,1
8,547.90,1
9,589.05,1
10,448.98,1
11,462.72,1
12,451.09,1
13,477.13,1
14,449.80,1
15,473.19,1
16,453.71,1
17,479.52,1
18,440.41,1
19,461.45,1
20,460.22,1
21,507.98,1
22,450.67,1
23,475.74,1
24,445.51,1
25,484.03,1
26,451.83,1
27,464.57,1
28,444.93,1
29,481.18,1
30,447.28,1
31,464.96,1
32,456.04,1
33,486.05,1
34,448.52,1
35,470.59,1
36,452.63,1
37,484.06,1
38,446.04,1
39,461.96,1
40,445.05,1
41,486.07,1
42,437.77,1
43,456.26,1
44,447.33,1
45,491.70,1
46,442.94,1
47,460.72,1
48,493.72,1
49,525.10,1
